Reason,Money (NIS)
Gifts for 5-21 birthday estimated at 300 for each year,4800
Bar Mitzvah Money,7000
Insurance Return from leg surgery,3000
Salary 2018 (Exercise Checker University),10406.19
Salary 2019 (Hebrew University Exercise Checker) ,7909.44
Salary 2020 (Hebew University Exercise Checker),31274.12
Salary January 2021 (Hebew University),"2,861.99"
Living Scholarship (Estimate),21600
Salary From the Greens (2019),31873.31
Salary From the Greens (2020),23346
Salary From Waitressing,20000
Salary From Accelix ,42000
Pension,12281
Advanced Study Fund,5586
Investments,6300
Private Tutoring,5000
Food Returns (2019),4261
Food Returns (2020),8943
,
Total:,248442.05
