Date,,Details,,In (NIS),Out (NIS)
"Saturday, 30/01/2021",,,,,
"			",,,,,
,Private Tutoring ,,,300,
,,,,,
"Sunday, 31/01/2021",,,,,
,,,,,
,2 Beers from last night ,,,,17.01
,,,,,
,Grocery Shopping ,,,,93.35
,,Tomatoes,9.8,,
,,Green Lentils,7.6,,
,,Cucumber,5.93,,
,,Onions,6.42,,
,,Rice,9.9,,
,,Tehini,29.8,,
,,Pita,9.9,,
,,Labane,14,,
,,Total:,93.35,,
,,,,,
"Monday, 01/02/2021",,,,,
,,,,,
,Yogurts in tel aviv,,,,15
,Parking,,,,8
,Xbox Live Gold,,,,37.99
,Private Tutoring,,,100,
,,,,,
Tuesday 02/02/2021,,,,,
,,,,,
,Arais,,,,45
,Baget,,,,39
