Date,,Details,,In (NIS),Out (NIS)
,,,,,
"Tuesday, 01/06/2021",,,,,
,,,,,
,Academon,,,,109
,Lunch,,,,51
,,,,,
"Wednesday, 02/06/2021",,,,,
,,,,,
,Lunch,,,,40
,Shoshan,,,,75
,,,,,
"Thursday, 03/06/2021",,,,,
,,,,,
,Lunch,,,,44
,Malabi,,,,9
,Shoshan,,,,100
,Café,,,,90
,,,,,
"Friday, 04/06/2021",,,,,
,,,,,
,Lunch,,,,34
,Netflix,,,,60
,,,,,
"Saturday, 05/06/2021",,,,,
,,,,,
,Burgeroom ,,,,70
,Living Scholarship,,,2682,
,Private Tutoring,,,100,
,Salaray,,,1309.677419,
,Rent,,,,333.0645161
,,,,,
"Sunday, 06/06/2021",,,,,
,,,,,
,Lunch,,,,70
,,,,,
"Monday, 07/06/2021",,,,,
,,,,,
,Shirts,,,,360
,Grocery Store,,,,226
,Lunch,,,,50
,Pizza,,,,90
,,,,,
"Tuesday, 08/06/2021",,,,,
,,,,,
,Lunch,,,,46
,Scarfs,,,,78
,Bar,,,,30
,Pizza,,,,32
,,,,,
"Wednesday, 09/06/2021",,,,,
,,,,,
,Lunch,,,,50
,Concert,,,,150
,,,,,
"Thursday, 10/06/2021",,,,,
,,,,,
,Lunch,,,,50
,Bar,,,,70
,,,,,
"Friday, 11/06/2021",,,,,
,,,,,
,Lunch,,,,20
,Bar,,,,60
,Arais,,,,46
,,,,,
"Saturday, 12/06/2021",,,,,
,,,,,
,Salaray,,,1309.677419,
,Rent,,,,481.8333333
,Bills,,,,200
,spotify,,,,20
,,,,,
"Sunday, 13/06/2021",,,,,
,,,,,
,Grocery Store,,,,553
,Lunch,,,,50
,Amazon,,,,317
,,,,,
"Monday, 14/06/2021",,,,,
,,,,,
,Lunch,,,,100
,Bar,,,,100
,,,,,
"Tuesday, 15/06/2021",,,,,
,,,,,
,Bar,,,,22
,,,,,
"Wednesday, 16/06/2021",,,,,
,,,,,
,Aroma,,,,45
,Lunch,,,,30
,Private Tutoring,,,,125
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Sunday, 23/05/2021",,,,,
,,,,,
,Lunch,,,,37
,Sandwich,,,,16
,,,,,
"Monday, 24/05/2021",,,,,
,,,,,
,Lunch,,,,37
,Show,,,,150
,,,,,
"Tuesday, 25/05/2021",,,,,
,,,,,
,Lunch,,,,51
,Deordorant ,,,,65
,,,,,
"Wednesday, 26/05/2021",,,,,
,,,,,
,Lunch,,,,55
,Private Tutoring,,,200,
,,,,,
"Thursday, 27/05/2021",,,,,
,,,,,
,Lunch,,,,45
,Bar ,,,,70
,,,,,
"Friday, 28/06/2021",,,,,
,,,,,
,Malabi,,,,15
,Bar,,,,100
,,,,,
"Saturday, 29/06/2021",,,,,
,,,,,
,Bar,,,,50
,Rent ,,,,293.5483871
,Salaray,,,1309.677419,
,,,,,
"Sunday, 30/06/2021",,,,,
,,,,,
,Aroma,,,,51
,Sperm Donation,,,750,
