Date,,Details,,In (NIS),Out (NIS)
,,,,,
"Monday, 01/03/2021",,,,,
,,,,,
,Arais,,,,45
,Purim Gift,,,400,
,,,,,
"Tuesday, 02/03/2021",,,,,
,,,,,
,Lunch,,,,64
,Shevah,,,,24
,,,,,
"Wednesday, 03/03/2021",,,,,
,,,,,
,Parking,,,,20
,Sperm Donation,,,750,
,Lunch,,,,57
,Grocery Store,,,,47.42
,,Tomatoes,5.62,,
,,Onions,2.79,,
,,Cucumber,3.91,,
,,Philadelphia,12.9,,
,,Pita,10.9,,
,,Eggs,11.3,,
,,Total:,47.42,,
,,,,,
"Thursday, 04/03/2021",,,,,
,,,,,
,Alcohol,,,,24.7
,Lunch,,,,57
,,,,,
"Friday, 05/03/2021",,,,,
,,,,,
,Shevah ,,,,22
,,,,,
"Saturday, 06/03/2021",,,,,
,,,,,
,Beer,,,,35
,Taxi,,,,20
,Money From Mom,,,20,
,Rent ,,,,293.5483871
,Salary,,,1078.654839,
,,,,,
"Sunday, 07/03/2021",,,,,
,,,,,
,Lunch,,,,64
,Restaurant,,,,87
,,,,,
"Monday, 08/03/2021",,,,,
,,,,,
,Lunch,,,,64
,Money That was stolen from me,,,,111.17
,,,,,
"Tuesday, 09/03/2021",,,,,
,,,,,
,Lunch,,,,44
,Food Returns,,,917,
,Fuel,,,,50
,,,,,
"Wednesday, 10/03/2021",,,,,
,,,,,
,Parking,,,,20
,Sperm Donation,,,750,
,Hair Cut,,,,50
,,,,,70
"Thursday, 11/03/2021",,,,,
,,,,,
,Gift for Summer,,,,50
,Lunch,,,,64
,Bar,,,,70
,Taxi,,,,45
,,,,,
"Friday, 12/03/2021",,,,,
,,,,,
,Soccer Game,,,,50
,Shevah,,,,28
,Bar,,,,70
,Pizza,,,,32
,Taxi,,,,25
,,,,,
"Saturday, 13/03/2021",,,,,
,,,,,
,Rent ,,,,293.5483871
,Salary,,,1078.654839,
,Bar,,,,55
,,,,,
"Sunday, 14/03/2021",,,,,
,,,,,
,Lunch,,,,47
,Shampoos,,,,52.8
,Grocery Store,,,,32.61
,,Eggs,11.3,,
,,Tomatoes,5.71,,
,,Labane,15.6,,
,Coffee House,,,,32
,,,,,
"Monday, 15/03/2021",,,,,
,,,,,
,Pizza,,,,28
,Beer,,,,22
,Memulawah,,,,25
,,,,,
,,,,,
"Tuesday, 16/03/2021",,,,,
,,,,,
,Lunch,,,,64
,,,,,
"Wednesday, 17/03/2021",,,,,
,,,,,
,Fuel,,,,65
,Parking,,,,20
,Sperm Donation,,,750,
,Beers,,,,51
,Food,,,,39
,,,,,
"Thuesday, 18/03/2021",,,,,
,,,,,
,Lunch,,,,65
,Bar,,,,120
,,,,,
"Friday, 19/03/2021",,,,,
,,,,,
,Shevah,,,,22
,Taxi,,,,15
,Bar,,,,70
,,,,,
"Saturday, 20/03/2021",,,,,
,,,,,
,Caffe,,,,14
,Bar,,,,22
,Rent ,,,,293.5483871
,Salary,,,1078.654839,
,,,,,
"Sunday, 21/03/2021",,,,,
,,,,,
,Lunch,,,,57
,Shevah,,,,22
,,,,,
"Monday, 22/03/2021",,,,,
,,,,,
,Electricity Bill,,,,340
,Lunch,,,,45
,,,,,
"Tuesday, 23/03/2021",,,,,
,,,,,
,Memulawah,,,,25
,Party,,,,105
,,,,,
"Wednesday, 24/03/2021",,,,,
,,,,,
,Arnona,,,,1754
,Lunch,,,,64
,Private Tutoring,,,100,
,,,,,
"Thursday, 25/03/2021",,,,,
,,,,,
,Parking,,,,16
,Aroma,,,,36
,Sperm Donation,,,750,
,,,,,
"Friday, 26/03/2021",,,,,
,,,,,
,Bar ,,,,150
,,,,,
"Saturday, 27/03/2021",,,,,
,,,,,
,Caffe,,,,46
