Date,,Details,,In (NIS),Out (NIS)
,,,,,
"Saturday, 01/05/2021",,,,,
,,,,,
,Beer,,,,21
,,,,,
"Sunday, 02/05/2021",,,,,
,,,,,
,Beers,,,,90
,Living Scholarship,,,2682,
,,,,,
"Monday, 03/05/2021",,,,,
,,,,,
,Fan,,,,182
,Sperm Donation,,,750,
,Lunch,,,,43
,,,,,
"Tuesday, 04/05/2021",,,,,
,,,,,
,Lunch,,,,58
,,,,,
"Wednesday, 05/05/2021",,,,,
,,,,,
,Lunch,,,,42
,Dinner,,,,42
,Bar,,,,65
,Private Tutoring,,,100,
,,,,,
"Thursday, 06/05/2021",,,,,
,,,,,
,Lunch,,,,75
,Boogie,,,,50
,Sablet ,,,,2065
,,,,,
"Friday, 07/05/2021",,,,,
,,,,,
,Hapoel,,,,200
,,,,,
"Saturday, 08/05/2021",,,,,
,,,,,
,Rent ,,,,293.5483871
,Salaray,,,1309.677419,
,Caffe,,,,15
,Food Returns,,,968,
,,,,,
"Sunday, 09/05/2021",,,,,
,,,,,
,Lunch,,,,41
,Bar and Party,,,,200
,,,,,
"Monday, 10/05/2021",,,,,
,,,,,
,Lunch,,,,74
,,,,,
"Tuesday, 11/05/2021",,,,,
,,,,,
,Lunch,,,,35
,,,,,
"Wednesday, 12/05/2021",,,,,
,,,,,
,Lunch,,,,47
,Date,,,,80
,,,,,
,,,,,
"Thursday, 13/05/2021",,,,,
,,,,,
,Lunch,,,,57
,,,,,
"Saturday, 15/05/2021",,,,,
,,,,,
,Rent ,,,,293.5483871
,Salaray,,,1309.677419,
,,,,,
,,,,,
"Monday, 17/05/2021",,,,,
,,,,,
,Shavuot,,,,300
